,names,ratings,cost,dish,deliveryin_min,order
155,Pizza O' Clock,3.9,₹200 for one,"Pizza, Fast Food",29 min,875+ orders placed from here recently
156,The Cake Zone,4.1,₹200 for one,Bakery,49 min,1250+ orders placed from here recently
157,Savi Ruchi,4.1,₹200 for one,"North Indian, South Indian, Mughlai, Street Food, Chinese, Beverages",38 min,2175+ orders placed from here recently
158,Delhi Food Point,3.7,₹200 for one,"North Indian, Beverages",39 min,3125+ orders placed from here recently
159,Uttara Karnataka Jolada Rotti Mattu Chapati Angadi,4.1,₹100 for one,"South Indian, Mithai",29 min,1875+ orders placed from here recently
160,Basaveshwar Khanavali,4.0,₹100 for one,South Indian,41 min,1575+ orders placed from here recently
161,Sri Venkateshwara Sweet Meat Stall,4.5,₹100 for one,"Mithai, Street Food, Desserts, Beverages",17 min,575+ orders placed from here recently
162,Burger It Up,4.1,₹100 for one,"Burger, Desserts, Fast Food, Shake",26 min,175+ orders placed from here recently
163,Eshanya Street Food Cafe,4.0,₹100 for one,"North Indian, Mughlai, Chinese, Beverages",22 min,625+ orders placed from here recently
164,Nasi And Mee,4.2,₹100 for one,"Asian, Japanese, Singaporean, Malaysian, Thai, Desserts, Beverages",48 min,1650+ orders placed from here recently
165,Savoury - Sea Shell Restaurant,4.0,₹100 for one,"Arabian, North Indian, Chinese, Fast Food, Kerala, Mughlai, Desserts, Beverages",35 min,5775+ orders placed from here recently
166,Namma Prashanth Hotel,4.1,₹100 for one,South Indian,42 min,1600+ orders placed from here recently
167,Priyadarshini Restaurant,4.3,₹100 for one,"South Indian, Desserts, Beverages, Ice Cream",50 min,1250+ orders placed from here recently
168,Vijayshree Restaurant,4.1,₹100 for one,"North Indian, Chinese, Mughlai, Biryani",43 min,1475+ orders placed from here recently
169,Suguna Kabab Corner,4.3,₹100 for one,"Biryani, Andhra",47 min,1225+ orders placed from here recently
170,Salena And New Salena Food Center,3.4,₹100 for one,"North Indian, Biryani, Chinese, Sichuan",38 min,2300+ orders placed from here recently
171,Plan B,4.0,₹350 for one,"American, Continental, Bar Food, Chinese, Fast Food, Pizza, Burger, Beverages",34 min,725+ orders placed from here recently
172,Parkview,4.1,₹350 for one,"South Indian, North Indian, Street Food, Chinese, Beverages, Shake, Desserts",25 min,4700+ orders placed from here recently
173,Hyderabad Magic,3.9,₹350 for one,"North Indian, Mughlai, Chinese",41 min,1075+ orders placed from here recently
174,Oru Vadakkan Cafe,3.9,₹350 for one,"Kerala, South Indian, Biryani, Seafood, Beverages",52 min,3325+ orders placed from here recently
175,Kanti Sweets,4.3,₹50 for one,"Mithai, Desserts",52 min,3325+ orders placed from here recently
176,Millet Express,4.1,₹50 for one,"Healthy Food, South Indian, North Indian, Biryani",48 min,650+ orders placed from here recently
177,Asia Kitchen By Mainland China,4.2,₹50 for one,"Chinese, Momos, Thai, Asian, Seafood, Sushi, Beverages",25 min,200+ orders placed from here recently
178,Ambara Gardenia,3.8,₹50 for one,"Andhra, North Indian, Chinese, Seafood, Desserts, Beverages",35 min,875+ orders placed from here recently
179,Deewar Family Restaurant And Bar,4.3,₹300 for one,"Chinese, South Indian, Mughlai, North Indian, Seafood, Biryani",55 min,1100+ orders placed from here recently
180,Dhaba Stories,3.8,₹300 for one,"North Indian, Chinese, Desserts",48 min,750+ orders placed from here recently
181,Taato Peero Momos,4.5,₹300 for one,"Tibetan, Momos",33 min,1800+ orders placed from here recently
182,Big Chow,3.6,₹300 for one,"Chinese, Thai, Sichuan",54 min,2400+ orders placed from here recently
183,Malabar Bay,3.5,₹150 for one,"Kerala, Seafood, North Indian, Biryani, Chinese, Beverages, Shake, Desserts",31 min,3350+ orders placed from here recently
184,Hotel Palace,4.1,₹150 for one,"South Indian, Biryani, Mughlai, North Indian, Chinese",42 min,700+ orders placed from here recently
185,Swadista Aahar,3.9,₹150 for one,"South Indian, North Indian, Chinese, Street Food",29 min,4300+ orders placed from here recently
186,Bowl 99,3.3,₹150 for one,"North Indian, South Indian",34 min,350+ orders placed from here recently
187,Cafe Indulge,3.5,₹200 for one,"Cafe, Coffee, Desserts, Burger, Beverages, Pizza, Sandwich, Fast Food",45 min,250+ orders placed from here recently
188,Tikka Kebab,3.6,₹200 for one,"Kebab, North Indian, Chinese, Mughlai, Biryani, Sichuan, Ice Cream, Beverages",41 min,1325+ orders placed from here recently
189,7th Heaven,4.0,₹200 for one,"Bakery, Desserts",42 min,850+ orders placed from here recently
190,Maedah,3.4,₹200 for one,"North Indian, Chinese, Arabian, Mughlai, Kebab, Beverages, Desserts",38 min,2200+ orders placed from here recently
191,Kedias Fun Food,4.2,₹100 for one,"North Indian, Street Food, Beverages",16 min,2450+ orders placed from here recently
192,Just Cakes,3.8,₹100 for one,"Bakery, Desserts",33 min,450+ orders placed from here recently
193,Savi Sagar Grand,3.8,₹100 for one,"South Indian, North Indian, Chinese, Street Food, Sandwich, Desserts, Beverages",37 min,3350+ orders placed from here recently
194,Fiero! Pizzeria,3.6,₹100 for one,"Pizza, Fast Food",31 min,300+ orders placed from here recently
195,Ranganna Military Hotel,4.0,₹200 for one,South Indian,23 min,3250+ orders placed from here recently
196,Chow San,3.8,₹200 for one,"Chinese, Thai, Momos, Sichuan",36 min,900+ orders placed from here recently
197,Vaigai Vilas,3.3,₹200 for one,"Fast Food, Street Food, Chinese, South Indian, Biryani, Beverages",38 min,725+ orders placed from here recently
198,Bengali Fun Foods,4.1,₹200 for one,"Bengali, North Indian, Biryani, Rolls",34 min,3625+ orders placed from here recently
199,Mast Marathi,3.8,₹150 for one,"Maharashtrian, Street Food, Desserts, Beverages",49 min,7200+ orders placed from here recently
200,Indori Zaika,3.6,₹150 for one,"North Indian, Fast Food, Street Food",63 min,4700+ orders placed from here recently
201,The Betel Leaf Co - Originally from Bangalore,4.2,₹150 for one,Paan,36 min,625+ orders placed from here recently
202,Ande Ka Funda,4.0,₹150 for one,"North Indian, Rolls",24 min,1425+ orders placed from here recently
203,Rooftop Cafe,3.9,₹100 for one,"Pizza, Fast Food, Chinese, Coffee, Beverages",21 min,675+ orders placed from here recently
204,Chickpet Jonne Biriyani House,4.0,₹100 for one,"Biryani, South Indian",23 min,1100+ orders placed from here recently
205,The Bengal Club,3.6,₹100 for one,"Bengali, North Indian, Rolls",33 min,625+ orders placed from here recently
206,Grameen Kulfi,4.0,₹100 for one,"Ice Cream, Desserts",17 min,175+ orders placed from here recently
207,Paratha Box - Desi Punjabi Meals,4.0,₹200 for one,"North Indian, Desserts, Beverages",31 min,100+ orders placed from here recently
208,Puliyogare Palace,3.0,₹200 for one,"South Indian, Desserts",39 min,200+ orders placed from here recently
209,Banashankari Donne Biriyani,4.1,₹200 for one,South Indian,31 min,1075+ orders placed from here recently
210,Sri Udupi Grand,4.1,₹200 for one,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",36 min,1225+ orders placed from here recently
211,Sri Aakash Punjabi Dhaba,4.0,₹150 for one,"North Indian, Chinese, Biryani, Mughlai",36 min,2425+ orders placed from here recently
212,Donne Biryani Corner,3.4,₹150 for one,"Biryani, South Indian",24 min,600+ orders placed from here recently
213,Dwarkamai Pure Veg Restaurant,4.3,₹150 for one,"North Indian, Chinese, Street Food, Beverages, Desserts, Shake",32 min,950+ orders placed from here recently
214,Cafe Azzure,3.9,₹150 for one,"Cafe, Continental, Fast Food, Italian, Mexican, Beverages, Desserts",56 min,225+ orders placed from here recently
215,Kwality Wall’s Frozen Dessert and Ice Cream Shop,4.3,₹100 for one,Ice Cream,15 min,850+ orders placed from here recently
216,Banashankari Donne Biriyani,3.5,₹100 for one,"Biryani, Chinese",27 min,325+ orders placed from here recently
217,Kerala Food Club,3.8,₹100 for one,"Kerala, Seafood, Biryani",36 min,1850+ orders placed from here recently
218,Chettinad Food House,3.5,₹100 for one,"South Indian, Chettinad, North Indian, Chinese",31 min,2150+ orders placed from here recently
219,North Indian Bhukkads - NIB,3.9,₹150 for one,"North Indian, Chinese, Biryani, Desserts",48 min,2700+ orders placed from here recently
220,Chole Bhatura And Parathas,3.5,₹150 for one,North Indian,31 min,2175+ orders placed from here recently
221,Punjabi Food Corner,3.5,₹150 for one,"North Indian, Chinese, Street Food, Fast Food, Desserts, Beverages",39 min,2075+ orders placed from here recently
222,Miya Bhai's Kitchen,3.4,₹150 for one,"North Indian, Chinese, Kebab, Rolls",30 min,1325+ orders placed from here recently
223,Dosa Chicken Curry,4.0,₹100 for one,"South Indian, Shake",49 min,2525+ orders placed from here recently
224,The Tasty Planet,3.9,₹100 for one,"Burger, Sandwich, Pizza, Street Food, Fast Food, Chinese, Desserts, Beverages",50 min,775+ orders placed from here recently
225,Bramhshree Nandi Grand,4.3,₹100 for one,"North Indian, South Indian, Chinese, Street Food, Ice Cream, Desserts, Shake, Beverages",49 min,1150+ orders placed from here recently
226,Pind Balluchi,4.0,₹100 for one,"North Indian, Mughlai, Biryani, Kebab, Desserts",73 min,225+ orders placed from here recently
227,Mega Biryani,4.3,₹200 for one,Biryani,30 min,50+ orders placed from here recently
228,Cake Dies,4.1,₹200 for one,Bakery,30 min,575+ orders placed from here recently
229,Coast @ JP Nagar,4.1,₹200 for one,"Seafood, Mangalorean, South Indian, North Indian, Beverages, Desserts",30 min,2600+ orders placed from here recently
230,Raffaele's Ristorante Pizzeria,4.0,₹200 for one,"Pizza, Italian, Burger, Beverages",55 min,700+ orders placed from here recently
231,Captain Olive,4.1,₹150 for one,Burger,29 min,3775+ orders placed from here recently
232,Thalassery Cafe,3.8,₹150 for one,"Street Food, Chinese, Kerala, South Indian, Seafood, Desserts, Ice Cream, Beverages",27 min,825+ orders placed from here recently
233,Hoskote Donne Biryani,3.7,₹150 for one,"Biryani, South Indian",31 min,1400+ orders placed from here recently
234,Sri Maruthi Gowda's Military Hotel,4.2,₹150 for one,South Indian,49 min,800+ orders placed from here recently
235,Rolls N Snacks,3.8,₹100 for one,"Street Food, Fast Food, Sandwich, Burger, Pizza, Shake, Beverages",64 min,500+ orders placed from here recently
236,Srinagar Kabab Corner,3.9,₹100 for one,"South Indian, Biryani",29 min,550+ orders placed from here recently
237,Sakkath Dosa,4.1,₹100 for one,South Indian,28 min,925+ orders placed from here recently
238,Andhra Delight,3.9,₹100 for one,"Andhra, Biryani",43 min,2275+ orders placed from here recently
239,Sangam Sweets,4.1,₹100 for one,"Mithai, Street Food, Fast Food, Beverages",46 min,7825+ orders placed from here recently
240,Gourmet Ice Cream Cakes by Baskin Robbins,3.9,₹100 for one,"Ice Cream, Bakery, Desserts",39 min,125+ orders placed from here recently
241,Marwadi Chaat Tiffin Services,3.5,₹100 for one,"North Indian, Street Food, Chinese",36 min,2250+ orders placed from here recently
242,Hotel Sanman,4.3,₹100 for one,South Indian,22 min,2800+ orders placed from here recently
243,The Salad Studio,4.3,₹250 for one,"Salad, Healthy Food",40 min,1275+ orders placed from here recently
244,Luckhnow Street,4.0,₹250 for one,"Awadhi, Kebab, Biryani",38 min,2150+ orders placed from here recently
245,Sahana's - Since 1993,4.0,₹250 for one,"South Indian, Mughlai",28 min,950+ orders placed from here recently
246,Al Taj,3.4,₹250 for one,"North Indian, Chinese, Mughlai, Lebanese, Seafood, Biryani, Beverages",28 min,3250+ orders placed from here recently
247,Rolls & Bowls Company,3.7,₹250 for one,"Rolls, North Indian, Chinese, Fast Food, Sichuan",31 min,100+ orders placed from here recently
248,Burnout Cafe,3.4,₹250 for one,"Cafe, Beverages, Continental, Italian, Chinese, Fast Food, Asian, Desserts",61 min,Restaurant partner follows WHO protocol
249,Sri Sapana Dhaba,3.2,₹250 for one,"North Indian, Mughlai, Chinese, Sichuan",42 min,3075+ orders placed from here recently
250,Litti Twist,4.1,₹250 for one,"North Indian, Bihari, Street Food, Chinese, Desserts, Beverages",26 min,5400+ orders placed from here recently
251,Sabzi Aur Roti,3.6,₹250 for one,North Indian,36 min,1450+ orders placed from here recently
252,Swathi Greenland,4.2,₹250 for one,"Andhra, North Indian, Chinese, Oriental, Asian, Mughlai, Biryani, Seafood",61 min,500+ orders placed from here recently
253,Kolkata Famous Kati Rolls,4.2,₹250 for one,Rolls,38 min,825+ orders placed from here recently
254,Taiki,3.9,₹250 for one,"Japanese, Korean, Asian, Sushi, Beverages",30 min,675+ orders placed from here recently
255,Just Bake - Cakes & Confectioners,3.8,₹100 for one,"Bakery, Desserts",25 min,325+ orders placed from here recently
256,Sundae Everyday Ice Creams,3.7,₹100 for one,"Ice Cream, Desserts, Shake",22 min,300+ orders placed from here recently
257,Gud Dhani,3.9,₹100 for one,"North Indian, Chinese",47 min,1875+ orders placed from here recently
258,Sri Rajasthani Foods,3.9,₹100 for one,"Rajasthani, North Indian, Fast Food",36 min,525+ orders placed from here recently
259,Khai Khai,4.0,₹150 for one,"Bengali, North Indian, Biryani, Rolls, Continental, Street Food, Beverages",46 min,2250+ orders placed from here recently
260,The Sugar Free Keto Kafe - Artinci,3.4,₹150 for one,"Desserts, Ice Cream, Bakery",39 min,Follows all Max Safety measures to ensure your food is safe
261,Cookie Man,4.3,₹150 for one,Bakery,34 min,450+ orders placed from here recently
262,Ashirvaad Grand,4.1,₹150 for one,"South Indian, Beverages",27 min,1975+ orders placed from here recently
263,Say Cheese Cake,4.1,₹250 for one,"Bakery, Desserts, Shake",39 min,925+ orders placed from here recently
264,Gam's Delicacy,4.2,₹250 for one,"North Indian, Chinese, Assamese",44 min,1200+ orders placed from here recently
265,S M V Snacks Corner,4.0,₹250 for one,"Fast Food, Street Food, Ice Cream, Desserts, Sichuan",34 min,575+ orders placed from here recently
266,Malabar Mess,3.6,₹250 for one,"Kerala, South Indian, Chinese",37 min,600+ orders placed from here recently
267,Basaveshwar Khanavali,4.0,₹250 for one,South Indian,21 min,2075+ orders placed from here recently
268,Happy Belly Bakes,4.6,₹250 for one,"Bakery, Desserts, Cafe, Beverages",46 min,675+ orders placed from here recently
269,Brew Cafe,3.9,₹250 for one,"Fast Food, Momos, Street Food, Ice Cream, Beverages",29 min,1025+ orders placed from here recently
270,Kerala Pavilion,3.9,₹250 for one,"Kerala, South Indian, Chinese",59 min,500+ orders placed from here recently
271,JCB - Just Chole Bhature,4.0,₹150 for one,"North Indian, Street Food",31 min,1000+ orders placed from here recently
272,Magic Chef Restaurant,3.6,₹150 for one,"Rolls, Chinese, Sichuan, Biryani, North Indian, Salad, Beverages",27 min,625+ orders placed from here recently
273,Mangalore Sea Palate,4.2,₹150 for one,"North Indian, Mughlai, Seafood, Chinese, Sichuan, Beverages",21 min,650+ orders placed from here recently
274,Punjabi Swag,3.5,₹150 for one,"North Indian, Mughlai, Chinese, Fast Food, Desserts",32 min,2025+ orders placed from here recently
275,Taaza Chaat,3.7,₹50 for one,"Street Food, Fast Food",39 min,450+ orders placed from here recently
276,Gowdru Hotel,3.5,₹50 for one,"Chinese, South Indian, Fast Food",50 min,825+ orders placed from here recently
277,Temperature,4.1,₹50 for one,"Street Food, Fast Food, Beverages, Desserts",38 min,4925+ orders placed from here recently
278,The Bangalore Cafe,4.1,₹50 for one,"North Indian, Italian, Pizza, Continental",36 min,2175+ orders placed from here recently
279,Cafe Noir,4.0,₹200 for one,"Italian, Continental, French, Cafe, Pizza, Desserts, Beverages",39 min,3900+ orders placed from here recently
280,The Bihari Rasoi,4.1,₹200 for one,"North Indian, Bihari",43 min,1300+ orders placed from here recently
281,New Mangalore Lunch Home,3.9,₹200 for one,"Mangalorean, Chinese, North Indian, Sichuan",50 min,1525+ orders placed from here recently
282,Basvangudi Donne Biryani,3.3,₹200 for one,"Biryani, South Indian",36 min,100+ orders placed from here recently
283,Darjeeling Hot Momos,4.0,₹150 for one,Momos,34 min,2450+ orders placed from here recently
284,Budapest Bake Inn,3.4,₹150 for one,"Desserts, Waffle, Beverages, Shake",37 min,650+ orders placed from here recently
285,Khichdi Kahani,3.3,₹150 for one,North Indian,46 min,825+ orders placed from here recently
286,Baking Bad - Pizza Delivery,4.0,₹150 for one,Pizza,42 min,50+ orders placed from here recently
287,Sri Dalma,4.0,₹200 for one,"Bengali, Odia, Desserts",42 min,50+ orders placed from here recently
288,Coorg Pork Joint,4.1,₹200 for one,"Mangalorean, North Indian, Chinese, Street Food, Beverages",48 min,675+ orders placed from here recently
289,Utsav Restaurant,3.7,₹200 for one,"North Indian, Chinese",31 min,575+ orders placed from here recently
290,Khaomomo,4.2,₹200 for one,"Momos, Chinese, Tibetan",63 min,2625+ orders placed from here recently
291,Chung Wah Express,4.0,₹250 for one,"Chinese, Thai, Sichuan",56 min,50+ orders placed from here recently
292,The Tea Brewery,4.3,₹250 for one,"Tea, Fast Food, Beverages",51 min,3600+ orders placed from here recently
293,Platform.65,3.6,₹250 for one,"North Indian, Mughlai, Chinese, South Indian, Biryani, Beverages, Desserts, Ice Cream",39 min,600+ orders placed from here recently
294,Dolma Aunty Momos,3.8,₹250 for one,"Momos, Fast Food, Street Food, Desserts",44 min,1125+ orders placed from here recently
295,Iceberg Organic Icecreams,4.0,₹250 for one,Ice Cream,44 min,1125+ orders placed from here recently
296,Lavonne,4.4,₹250 for one,"Cafe, Tea, Beverages, Bakery, Continental, Pasta, Salad, Fast Food",47 min,1850+ orders placed from here recently
297,Oonu Ready,3.6,₹250 for one,"South Indian, Biryani, Kerala",40 min,775+ orders placed from here recently
298,Tasty Fast Food & Kabab Zone,3.8,₹250 for one,"Kebab, North Indian, Chinese, Sichuan, BBQ, Biryani",35 min,575+ orders placed from here recently
299,Cafe Hideout,4.1,₹250 for one,"North Indian, Chinese, Continental, Biryani, BBQ, Coffee, Pizza, Pasta",46 min,1100+ orders placed from here recently
300,Magic Fill,4.2,₹250 for one,"North Indian, Chinese, Mughlai",24 min,150+ orders placed from here recently
301,Baisakhi,3.5,₹250 for one,"North Indian, Beverages, Desserts",34 min,525+ orders placed from here recently
302,Donne Biryani Mandi,3.9,₹250 for one,"South Indian, Biryani",33 min,875+ orders placed from here recently
303,Cake Bite,3.3,₹150 for one,"Bakery, Desserts, Fast Food",31 min,275+ orders placed from here recently
304,Cold Stone Creamery,4.0,₹150 for one,"Ice Cream, Desserts, Waffle, Beverages, Shake",63 min,150+ orders placed from here recently
305,Ambur Hot Dum Biryani,3.5,₹150 for one,"Biryani, Kebab",43 min,125+ orders placed from here recently
306,Al - Pizzalicious,3.6,₹150 for one,"Fast Food, Pizza, Burger, Sandwich",63 min,Follows all Max Safety measures to ensure your food is safe
307,Mayura 1989 Andhra Speciality Restaurant,4.0,₹300 for one,"Andhra, Mughlai, Chinese, Kebab, North Indian, Beverages, Desserts",60 min,725+ orders placed from here recently
308,Ambur Star Dum Biryani,3.7,₹300 for one,"Biryani, Kebab",18 min,75+ orders placed from here recently
309,Swaad Kutirra,3.3,₹300 for one,"South Indian, North Indian",45 min,250+ orders placed from here recently
310,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
311,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
312,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
313,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
314,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
315,Gowdru Mane Biriyani,3.7,₹300 for one,"North Indian, Chinese, Biryani",47 min,75+ orders placed from here recently
